Unnamed: 0,...1,Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X1..Auditors.Name,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X16..Contact.Information,Lighting...Estimated.Power.Req....W.,Cooling...Estimated.Power.Req....W.,Others...Estimated.Power.Req....W.,Total...Estimated.Power.Req....W.,Additional.Load.from.Requested.Appliances
1,47,IGD--SEC(A)--LIN(2)--BL(3)--SNUM(94)--SLEV(0),2022-04-07 16:32:00,Accept,Auditor 4,"5.52xxxx, 5.76xxxx",Igbudu market,Closed Shop,A,2,3,94,62.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
2,1012,Onitsha--SEC(B)--LIN(18)--BL(1)--SNUM(21590)--SLEV(GROUND FLOOR),2022-04-12 10:21:00,Accept,Auditor 5,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,B,18,1,21590,611.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,30.0
3,3409,Onuimo--SEC(A)--LIN(64)--BL(1)--SNUM(1260)--SLEV(0),2022-04-01 14:36:00,Accept,Auditor 4,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo industrial and general goods market),Closed Shop,A,64,1,1260,49.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
5,1200,KTS--SEC(SECTION A)--LIN(LINE 2)--BL(BLOCK 21)--SNUM(1200)--SLEV(0),2022-05-20 11:37:06,Accept,Auditor 5,"12.9xxxx6, 7.60xxxx",Katsina Central Market,Closed Shop,SECTION A,LINE 2,BLOCK 21,1200,16.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,72.0,80.0,0.0,152.0,0.0
6,2872,OKJ--SEC(SECTION D)--LIN(LINE 3)--BL(20)--SNUM(1910)--SLEV(0),2022-05-19 11:14:07,Accept,Auditor 9,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Closed Shop,SECTION D,LINE 3,20,1910,2.0,GROUND FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
7,719,Aria--SEC(A)--LIN(1)--BL(2)--SNUM(720)--SLEV(0),2022-04-05 14:18:00,Accept,Auditor 7,"6.45xxxx, 7.48xxxx",Aria New Market,Closed Shop,A,1,2,720,3.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
8,14755,Onitsha--SEC(A)--LIN(3)--BL(1)--SNUM(585)--SLEV(GROUND FLOOR),2022-04-12 16:05:00,Accept,Auditor 4,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,A,3,1,585,8.0,GROUND FLOOR,UNOCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
9,4698,TND--SEC(SECTION D)--LIN(LINE 2)--BL(D75)--SNUM(4698)--SLEV(1),2022-06-03 12:27:00,Accept,Auditor 5,"10.5xxxx4, 7.40xxxx",Tundun Wada market,Closed Shop,SECTION D,LINE 2,D75,4698,24.0,FIRST FLOOR,LOCKED UP,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
10,1746,Onuimo--SEC(D)--LIN(11)--BL(2)--SNUM(5510)--SLEV(0),2022-05-24 08:38:45,Accept,Auditor 9,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo industrial and general goods market),Open Stall,D,11,2,5510,9.0,GROUND FLOOR,OCCUPIED,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
11,19932,Onitsha--SEC(A)--LIN(14)--BL(7)--SNUM(5636)--SLEV(SECOND FLOOR),2022-05-26 12:41:19,Accept,Auditor 12,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,A,14,7,5636,50.0,SECOND FLOOR,RESIDENTIAL,xxxxxxxxxxx,0.0,0.0,0.0,0.0,0.0
